"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","biotype"
"Rpsa",7.63167151808715e-292,-1.08413451903467,0.96,0.984,2.11504144452267e-287,"myofiber","Rpsa","protein_coding"
"C1qa",1.01266632963078e-291,-1.41777122660322,0.283,0.771,2.80650346593875e-287,"myofiber","C1qa","protein_coding"
"Lyz2",2.82835265593521e-289,-2.82916459975052,0.662,0.909,7.83849655065885e-285,"myofiber","Lyz2","protein_coding"
"Rps26",3.4197307992748e-289,-1.05053162198072,0.968,0.991,9.47744193711018e-285,"myofiber","Rps26","protein_coding"
"H2-K1",4.69707320532671e-289,-1.34564229137027,0.564,0.888,1.30174686812424e-284,"myofiber","H2-K1","protein_coding"
"Atp5e",3.31126287143374e-284,0.655382884112723,0.999,0.998,9.17683392189145e-280,"myofiber","Atp5e","protein_coding"
"Slc25a4",2.95891204476524e-282,0.78348818928588,1,0.997,8.20032884086238e-278,"myofiber","Slc25a4","protein_coding"
"S100a4",2.93719649339251e-281,-2.46141365882475,0.375,0.797,8.140146361788e-277,"myofiber","S100a4","protein_coding"
"Mb",1.42672433632876e-277,1.34966242923626,0.997,0.982,3.95402382570153e-273,"myofiber","Mb","protein_coding"
"Car3",4.01803267465001e-277,1.17574958321416,0.997,0.97,1.1135575754525e-272,"myofiber","Car3","protein_coding"
"Ifi27l2a",5.6281252954788e-275,-1.58338742317968,0.239,0.727,1.559778644389e-270,"myofiber","Ifi27l2a","protein_coding"
"Myl6",1.18957975979319e-270,-1.32577906408716,0.749,0.939,3.29680134629084e-266,"myofiber","Myl6","protein_coding"
"Rpl23",9.2476358244587e-270,-0.939485831201584,0.966,0.983,2.56288979239048e-265,"myofiber","Rpl23","protein_coding"
"C1qb",9.62323991544059e-268,-1.51221931417959,0.288,0.744,2.6669847101652e-263,"myofiber","C1qb","protein_coding"
"C1qc",1.75635532578041e-266,-1.34584384726625,0.243,0.718,4.86756314986784e-262,"myofiber","C1qc","protein_coding"
"Rpl37a",2.85240264304271e-266,-0.879683268621867,0.984,0.997,7.90514868492857e-262,"myofiber","Rpl37a","protein_coding"
"Rps10",3.70440664544785e-264,-1.00849664764189,0.86,0.953,1.02663925771942e-259,"myofiber","Rps10","protein_coding"
"Rps15a",6.60155578793838e-264,-1.0819066035688,0.905,0.97,1.82955517106924e-259,"myofiber","Rps15a","protein_coding"
"Vim",8.51664753882395e-264,-1.94866353109328,0.616,0.906,2.36030369890967e-259,"myofiber","Vim","protein_coding"
"Rpl38",3.1338326985242e-262,-0.862286954176414,0.973,0.987,8.68510394068996e-258,"myofiber","Rpl38","protein_coding"
"Fcer1g",7.78845272061531e-262,-1.5947023564249,0.219,0.683,2.15849178699133e-257,"myofiber","Fcer1g","protein_coding"
"Serpinh1",4.38969811846017e-261,-1.19821116640362,0.464,0.853,1.21656093655005e-256,"myofiber","Serpinh1","protein_coding"
"Actb",3.6886378046046e-259,-2.20810299908204,0.926,0.984,1.02226908116812e-254,"myofiber","Actb","protein_coding"
"Rpl32",1.50482317470262e-256,-0.956224760657162,0.974,0.99,4.17046694637084e-252,"myofiber","Rpl32","protein_coding"
"Rps28",2.20566601935718e-256,-0.963196931711145,0.963,0.981,6.1127828060465e-252,"myofiber","Rps28","protein_coding"
"Rplp2",4.58833878485528e-256,-0.871750886827618,0.945,0.971,1.27161221083479e-251,"myofiber","Rplp2","protein_coding"
"H2-Aa",5.27508318875155e-256,-1.37909739645446,0.348,0.787,1.4619365549306e-251,"myofiber","H2-Aa","protein_coding"
"Tyrobp",7.4362483320409e-256,-1.92640389331737,0.232,0.685,2.06088186274181e-251,"myofiber","Tyrobp","protein_coding"
"Marcks",2.17463341840351e-255,-1.14319790124638,0.357,0.804,6.02677905576347e-251,"myofiber","Marcks","protein_coding"
"Pgam2",1.97715637989527e-254,0.815023776117362,0.999,0.98,5.47949119124176e-250,"myofiber","Pgam2","protein_coding"
"Chchd10",2.59411923316817e-253,0.881855330457414,0.992,0.946,7.18934204280228e-249,"myofiber","Chchd10","protein_coding"
"H2-Ab1",1.29388912667112e-251,-1.28982077340723,0.322,0.779,3.58588432565634e-247,"myofiber","H2-Ab1","protein_coding"
"H2-D1",1.31612551404699e-251,-1.32220377970118,0.553,0.857,3.64751024962983e-247,"myofiber","H2-D1","protein_coding"
"Rpl3",4.5440439960296e-251,-1.79122489371445,0.375,0.761,1.25933635305964e-246,"myofiber","Rpl3","protein_coding"
"Mybpc2",4.12611086000407e-245,1.03398020552589,0.992,0.945,1.14351036374153e-240,"myofiber","Mybpc2","protein_coding"
"Adssl1",4.52205162547624e-244,0.863537363775322,0.975,0.915,1.25324138748448e-239,"myofiber","Adssl1","protein_coding"
"mt-Atp8",6.79601214988675e-244,1.00665970492667,0.952,0.812,1.88344680721961e-239,"myofiber","mt-Atp8","protein_coding"
"Crip1",1.39935391988911e-243,-1.43585826560859,0.743,0.933,3.87816945358068e-239,"myofiber","Crip1","protein_coding"
"Gpx1",2.90455097639166e-243,-1.50129511341367,0.53,0.852,8.04967257597186e-239,"myofiber","Gpx1","protein_coding"
"Lgmn",1.77720549227577e-242,-1.91730586946,0.414,0.788,4.92534730129308e-238,"myofiber","Lgmn","protein_coding"
"Rps4x",3.12898597991977e-242,-1.08622205520038,0.911,0.964,8.67167174474965e-238,"myofiber","Rps4x","protein_coding"
"Rps3a1",6.53202072356168e-241,-0.994287251800239,0.918,0.967,1.81028422332788e-236,"myofiber","Rps3a1","protein_coding"
"Rtn2",1.69255307228461e-240,0.919713210338555,0.978,0.86,4.69074158452957e-236,"myofiber","Rtn2","protein_coding"
"Pygm",2.3741810754564e-240,0.829993654591373,0.998,0.986,6.57980543251988e-236,"myofiber","Pygm","protein_coding"
"Rpl27a",1.09014552393945e-239,-1.1056775935021,0.791,0.904,3.02122930504579e-235,"myofiber","Rpl27a","protein_coding"
"Tubb6",1.21654566553064e-239,-1.02034786589465,0.177,0.649,3.37153465745161e-235,"myofiber","Tubb6","protein_coding"
"Cd52",2.60462212627036e-239,-1.21550746603153,0.117,0.569,7.21844976074567e-235,"myofiber","Cd52","protein_coding"
"Fbn1",4.10649076840325e-239,-1.08893300270901,0.329,0.789,1.13807285155528e-234,"myofiber","Fbn1","protein_coding"
"Pvalb",7.59536036185933e-239,0.88700088149777,1,1,2.10497817068569e-234,"myofiber","Pvalb","protein_coding"
"Grn",3.64761062198905e-237,-1.83184688007554,0.417,0.791,1.01089880777804e-232,"myofiber","Grn","protein_coding"
"Rps19",1.0143056545192e-236,-1.13539879797421,0.929,0.975,2.8110466909345e-232,"myofiber","Rps19","protein_coding"
"Rps21",1.35712089734995e-236,-0.753590444224991,0.992,0.992,3.76112485491565e-232,"myofiber","Rps21","protein_coding"
"Fau",1.01359856179839e-235,-1.13597514783338,0.797,0.917,2.80908705416807e-231,"myofiber","Fau","protein_coding"
"Psap",1.24243987637291e-235,-1.65113882348444,0.971,0.989,3.44329787337989e-231,"myofiber","Psap","protein_coding"
"Col5a2",1.68626220854078e-235,-1.08403063199872,0.25,0.716,4.67330708474992e-231,"myofiber","Col5a2","protein_coding"
"Laptm5",2.17847815641231e-235,-1.19578315482024,0.151,0.608,6.03743436268107e-231,"myofiber","Laptm5","protein_coding"
"Tpt1",8.79489213135282e-235,-0.556844817398114,1,1,2.43741640528312e-230,"myofiber","Tpt1","protein_coding"
"Mpeg1",9.5201848194667e-234,-1.48251020061967,0.205,0.652,2.638424020867e-229,"myofiber","Mpeg1","protein_coding"
"mt-Rnr1",5.1589683051301e-233,0.694670249121361,1,0.998,1.42975647608376e-228,"myofiber","mt-Rnr1","Mt_rRNA"
"Pfn1",6.2593986410305e-233,-1.38083839789316,0.626,0.882,1.73472973937519e-228,"myofiber","Pfn1","protein_coding"
"Rpl11",1.9221236643369e-232,-1.17958907821229,0.675,0.858,5.32697352334328e-228,"myofiber","Rpl11","protein_coding"
"Ctsz",2.35005601682438e-232,-1.45592141580358,0.362,0.767,6.51294524502709e-228,"myofiber","Ctsz","protein_coding"
"Rack1",1.22678986896533e-230,-0.965637011179513,0.915,0.978,3.39992544285052e-226,"myofiber","Rack1","protein_coding"
"mt-Rnr2",1.87255447978011e-230,0.620106741688657,1,1,5.18959748526259e-226,"myofiber","mt-Rnr2","Mt_rRNA"
"Tuba1b",3.87712342766024e-230,-1.64205204825734,0.435,0.804,1.07450598674176e-225,"myofiber","Tuba1b","protein_coding"
"Tmem38b",1.00834981050259e-229,-0.984389180237585,0.982,0.998,2.79454066482687e-225,"myofiber","Tmem38b","protein_coding"
"Anxa2",2.53497337298761e-229,-1.41917043130046,0.434,0.811,7.02542520589786e-225,"myofiber","Anxa2","protein_coding"
"Rps29",1.91765440620495e-228,-0.884680401695029,0.995,0.995,5.31458742135639e-224,"myofiber","Rps29","protein_coding"
"Itm2b",4.36757826312416e-226,-0.950475702570329,0.832,0.939,1.21043063984223e-221,"myofiber","Itm2b","protein_coding"
"Rpl19",6.45577686196349e-226,-0.90247228270231,0.918,0.973,1.78915399952456e-221,"myofiber","Rpl19","protein_coding"
"Rpl21",9.92442298954103e-225,-0.934474512235956,0.861,0.937,2.7504545873214e-220,"myofiber","Rpl21","protein_coding"
"Ctss",1.423435859254e-224,-1.80258404411423,0.255,0.673,3.94491014033653e-220,"myofiber","Ctss","protein_coding"
"Actn3",1.11324279399381e-223,0.907936393618729,1,0.99,3.08524107927443e-219,"myofiber","Actn3","protein_coding"
"Ms4a7",5.84080808762458e-221,-0.855498695061677,0.076,0.494,1.61872155340428e-216,"myofiber","Ms4a7","protein_coding"
"Cfl1",6.40855359062345e-220,-1.74349393172751,0.466,0.807,1.77606654210538e-215,"myofiber","Cfl1","protein_coding"
"Dynll1",2.174499138958e-219,-1.01961155323587,0.411,0.798,6.02640691370821e-215,"myofiber","Dynll1","protein_coding"
"Rps18",2.4558253338409e-219,-1.01964692121008,0.852,0.934,6.80607433020667e-215,"myofiber","Rps18","protein_coding"
"Timp1",2.69022606574565e-219,-1.18316015444293,0.107,0.538,7.4556925186075e-215,"myofiber","Timp1","protein_coding"
"Rpl34",8.1052663762352e-219,-0.813770073598658,0.948,0.974,2.24629352350982e-214,"myofiber","Rpl34","protein_coding"
"Rps16",1.03834863726923e-218,-1.05323802442991,0.864,0.942,2.87767941332793e-214,"myofiber","Rps16","protein_coding"
"Gm42826",5.86298583868616e-216,-0.736642275899143,1,1,1.62486789533348e-211,"myofiber","Gm42826","TEC"
"Lrp1",3.17946751074095e-215,-1.18876219424752,0.499,0.841,8.81157625926748e-211,"myofiber","Lrp1","protein_coding"
"Wfdc17",1.12354632212888e-213,-1.59521966241569,0.162,0.581,3.11379627714799e-209,"myofiber","Wfdc17","protein_coding"
"Rpl13",1.20411310012521e-213,-0.850858027722837,0.896,0.949,3.33707904568701e-209,"myofiber","Rpl13","protein_coding"
"Ptma",9.51207083254026e-213,-1.61778587008396,0.563,0.853,2.63617531053021e-208,"myofiber","Ptma","protein_coding"
"Cox7a1",3.36422819820607e-211,0.829234005889072,0.989,0.911,9.32362202850829e-207,"myofiber","Cox7a1","protein_coding"
"Tubb5",1.0586332179081e-210,-1.44868684961104,0.441,0.792,2.93389610011051e-206,"myofiber","Tubb5","protein_coding"
"Rpl22",1.06557455547988e-210,-0.952351802047134,0.867,0.951,2.95313332305695e-206,"myofiber","Rpl22","protein_coding"
"Rpph1",2.42549026843795e-210,-1.0782720901671,0.68,0.936,6.72200372994892e-206,"myofiber","Rpph1","ribozyme"
"Postn",2.36375816752225e-209,-1.29292235544606,0.192,0.628,6.55091938547118e-205,"myofiber","Postn","protein_coding"
"Sh3bgrl3",8.31202272218911e-209,-1.56954220435471,0.339,0.723,2.30359397722749e-204,"myofiber","Sh3bgrl3","protein_coding"
"Selenop",2.58345742315547e-206,-1.06453484082163,0.655,0.886,7.15979390253306e-202,"myofiber","Selenop","protein_coding"
"Cstb",4.28463918137124e-206,-1.62422867759112,0.235,0.645,1.18744490272522e-201,"myofiber","Cstb","protein_coding"
"Ctsh",4.57072547532867e-206,-0.974329610743265,0.142,0.567,1.26673085823259e-201,"myofiber","Ctsh","protein_coding"
"Lst1",7.63400018329303e-206,-0.94838911030724,0.084,0.487,2.11568681079783e-201,"myofiber","Lst1","protein_coding"
"S100a10",1.97763104325631e-205,-1.29017180833891,0.403,0.77,5.48080667328054e-201,"myofiber","S100a10","protein_coding"
"Arpc1b",7.44333217104751e-205,-1.43114789322912,0.277,0.682,2.06284507788411e-200,"myofiber","Arpc1b","protein_coding"
"H2-Eb1",1.30187052216411e-203,-1.15447086527916,0.305,0.723,3.60800396512562e-199,"myofiber","H2-Eb1","protein_coding"
"Tuba1a",1.4821501526934e-203,-1.06115485067045,0.42,0.798,4.1076309331745e-199,"myofiber","Tuba1a","protein_coding"
"Eef1b2",1.84914712744152e-203,-0.908912558891652,0.756,0.921,5.12472634899142e-199,"myofiber","Eef1b2","protein_coding"
"Cd63",1.95870517959655e-203,-1.11977410015237,0.629,0.864,5.42835553473387e-199,"myofiber","Cd63","protein_coding"
"Cyba",7.48426977578317e-202,-1.38388313225958,0.259,0.661,2.07419052566055e-197,"myofiber","Cyba","protein_coding"
"Ccl8",2.29397167346324e-201,-0.976116586567009,0.083,0.487,6.35751309583603e-197,"myofiber","Ccl8","protein_coding"
"Lgals3",1.23610177150541e-200,-2.37191226402512,0.333,0.705,3.4257324495501e-196,"myofiber","Lgals3","protein_coding"
"Ifitm3",4.54256055914836e-200,-1.18724112082588,0.498,0.822,1.25892523336238e-195,"myofiber","Ifitm3","protein_coding"
"Anxa5",4.37572717148853e-199,-1.08691990417248,0.311,0.724,1.21268902830633e-194,"myofiber","Anxa5","protein_coding"
"Cox6a1",1.74108867624583e-198,-1.05839531113671,0.534,0.83,4.82525315734769e-194,"myofiber","Cox6a1","protein_coding"
"Ryr1",2.68151743073753e-198,0.827361475794153,0.976,0.904,7.43155740754599e-194,"myofiber","Ryr1","protein_coding"
"Ctsb",5.38859840740018e-198,-2.3424534914325,0.887,0.957,1.49339616262688e-193,"myofiber","Ctsb","protein_coding"
"Slc25a5",1.27340129451031e-196,-1.11646560221655,0.349,0.726,3.52910434760587e-192,"myofiber","Slc25a5","protein_coding"
"Rps11",3.76216139581644e-196,-0.903195821297178,0.919,0.968,1.04264540923657e-191,"myofiber","Rps11","protein_coding"
"Pdia6",1.10245720380242e-195,-1.13663417984851,0.282,0.685,3.05534989461802e-191,"myofiber","Pdia6","protein_coding"
"Ampd1",2.85433815518694e-195,0.889373008300431,0.954,0.814,7.91051276328508e-191,"myofiber","Ampd1","protein_coding"
"Emp1",3.24608883544945e-195,-1.02925349017181,0.283,0.701,8.9962105985646e-191,"myofiber","Emp1","protein_coding"
"Col5a1",3.00385978776151e-194,-0.9085030335282,0.246,0.679,8.32489701580225e-190,"myofiber","Col5a1","protein_coding"
"Sirpa",7.36594224291421e-194,-1.03690032959767,0.156,0.567,2.04139723320124e-189,"myofiber","Sirpa","protein_coding"
"Stab1",3.36026443897798e-193,-1.2370940400566,0.172,0.575,9.31263686618358e-189,"myofiber","Stab1","protein_coding"
"Fstl1",5.66669643316614e-193,-0.84513237287387,0.225,0.669,1.57046824948766e-188,"myofiber","Fstl1","protein_coding"
"Asb2",8.96507914208063e-193,0.889450034349532,0.93,0.733,2.48458203343623e-188,"myofiber","Asb2","protein_coding"
"Rpl14",3.35981042750811e-192,-0.835565787421194,0.915,0.967,9.31137861879597e-188,"myofiber","Rpl14","protein_coding"
"Pabpc1",7.23412965700462e-192,-1.14297186949157,0.418,0.78,2.00486669314226e-187,"myofiber","Pabpc1","protein_coding"
"Npc2",1.74745322166111e-191,-1.17503903190119,0.33,0.713,4.84289185851159e-187,"myofiber","Npc2","protein_coding"
"Sdcbp",5.77821157064369e-191,-1.23317234641022,0.228,0.627,1.60137355468819e-186,"myofiber","Sdcbp","protein_coding"
"Col6a3",1.4837078906516e-190,-1.06410375643831,0.395,0.787,4.11194804815184e-186,"myofiber","Col6a3","protein_coding"
"Rpl35",7.54328062795689e-190,-0.918984262794841,0.804,0.886,2.09054479323197e-185,"myofiber","Rpl35","protein_coding"
"Mt3",1.19884591997853e-189,-0.831698982485487,0.087,0.484,3.32248158262849e-185,"myofiber","Mt3","protein_coding"
"Rplp0",1.22594116105023e-189,-0.740328528361236,0.979,0.993,3.3975733337346e-185,"myofiber","Rplp0","protein_coding"
"Trem2",1.98224969971306e-189,-0.871320553297609,0.063,0.428,5.49360681778479e-185,"myofiber","Trem2","protein_coding"
"Ppib",2.23962548230579e-189,-1.05374093529512,0.373,0.743,6.20689806166225e-185,"myofiber","Ppib","protein_coding"
"Rpl7",4.2624758367656e-189,-0.892193936848433,0.85,0.927,1.18130255340122e-184,"myofiber","Rpl7","protein_coding"
"Mylk2",5.04957083205055e-189,0.899353412796988,0.933,0.783,1.39943806039449e-184,"myofiber","Mylk2","protein_coding"
"S100a11",8.43423901283109e-189,-1.03278614178075,0.292,0.696,2.33746500001601e-184,"myofiber","S100a11","protein_coding"
"Unc93b1",1.67894359170569e-188,-0.713505577126723,0.125,0.538,4.65302427005316e-184,"myofiber","Unc93b1","protein_coding"
"Loxl1",3.92545463235051e-188,-0.800613050787827,0.216,0.654,1.08790049680962e-183,"myofiber","Loxl1","protein_coding"
"C3ar1",2.3945095906408e-187,-1.01620632039158,0.088,0.463,6.63614387950191e-183,"myofiber","C3ar1","protein_coding"
"Rpl37",2.52430791531884e-187,-0.835937913855382,0.942,0.961,6.99586695651463e-183,"myofiber","Rpl37","protein_coding"
"Rpl3l",9.45749514802979e-187,0.854138994116184,0.898,0.681,2.62105020532498e-182,"myofiber","Rpl3l","protein_coding"
"Adgre1",1.0796532209341e-186,-0.882107175037386,0.105,0.496,2.99215093649678e-182,"myofiber","Adgre1","protein_coding"
"Emp3",8.63787198781428e-186,-1.1689922221167,0.241,0.637,2.39389984270285e-181,"myofiber","Emp3","protein_coding"
"Rpl26",1.14999490997635e-185,-0.77359924194808,0.953,0.979,3.18709589350844e-181,"myofiber","Rpl26","protein_coding"
"Rpl18",1.75275408928174e-185,-0.88316906183137,0.85,0.936,4.85758268303541e-181,"myofiber","Rpl18","protein_coding"
"Bst2",7.06471239186743e-185,-0.933889648346987,0.194,0.606,1.95791439228214e-180,"myofiber","Bst2","protein_coding"
"Rpl30",9.85769122285477e-185,-0.714615690895476,0.92,0.965,2.73196054550197e-180,"myofiber","Rpl30","protein_coding"
"Lcp1",7.66181659374456e-184,-1.15163571513034,0.139,0.524,2.12339585079037e-179,"myofiber","Lcp1","protein_coding"
"Ccl6",8.37650470615363e-184,-1.60721462867053,0.202,0.583,2.32146451426342e-179,"myofiber","Ccl6","protein_coding"
"Tuba1c",1.26974829427093e-183,-0.940964551807494,0.099,0.479,3.51898042274247e-179,"myofiber","Tuba1c","protein_coding"
"Coro1a",1.88010035716693e-183,-1.23582217130722,0.17,0.556,5.21051012985243e-179,"myofiber","Coro1a","protein_coding"
"Tspo",4.33292945142622e-182,-0.884357315750013,0.305,0.714,1.20082806816826e-177,"myofiber","Tspo","protein_coding"
"Csf1r",4.54505756221414e-182,-0.794168250124351,0.131,0.533,1.25961725279203e-177,"myofiber","Csf1r","protein_coding"
"Fxyd5",6.4154272302294e-181,-1.11712620735905,0.184,0.576,1.77797150258578e-176,"myofiber","Fxyd5","protein_coding"
"Clic1",1.21655884891311e-180,-0.950691249219405,0.143,0.538,3.3715711938778e-176,"myofiber","Clic1","protein_coding"
"Ptpn18",1.93112390761625e-180,-0.823309716614753,0.093,0.472,5.35191679756769e-176,"myofiber","Ptpn18","protein_coding"
"Cotl1",2.62346271560478e-180,-1.18377190557927,0.134,0.515,7.27066457002708e-176,"myofiber","Cotl1","protein_coding"
"Serpinb6a",6.43269927773273e-179,-0.865016999453541,0.599,0.869,1.78275827783085e-174,"myofiber","Serpinb6a","protein_coding"
"Aif1",6.74051284833603e-178,-0.772133652934465,0.071,0.435,1.86806573078785e-173,"myofiber","Aif1","protein_coding"
"Ckmt2",2.01352183138787e-177,0.859467503035706,0.975,0.884,5.58027440350834e-173,"myofiber","Ckmt2","protein_coding"
"Jpt1",2.98894471463097e-177,-0.814547930209836,0.286,0.687,8.28356138212826e-173,"myofiber","Jpt1","protein_coding"
"Rps23",1.03552183164265e-176,-1.19392352808863,0.67,0.818,2.86984520421443e-172,"myofiber","Rps23","protein_coding"
"Ndufa13",4.90762610741565e-176,0.620507981752631,0.988,0.969,1.36009949940917e-171,"myofiber","Ndufa13","protein_coding"
"Rbm3",5.71483293080046e-175,-1.18626067479344,0.424,0.767,1.58380879844204e-170,"myofiber","Rbm3","protein_coding"
"Ctsl",1.6935731114419e-174,-1.45004596890262,0.617,0.855,4.69356852105008e-170,"myofiber","Ctsl","protein_coding"
"Mt1",1.87465929454719e-174,-1.10080855211469,0.39,0.742,5.19543076890809e-170,"myofiber","Mt1","protein_coding"
"Serp1",5.69828754908325e-174,-0.798598639320608,0.149,0.543,1.57922341135293e-169,"myofiber","Serp1","protein_coding"
"Eif4a1",6.85634845749245e-174,-1.09393766166234,0.519,0.812,1.90016841150946e-169,"myofiber","Eif4a1","protein_coding"
"Hsp90b1",2.36850509809859e-173,-1.19680691980028,0.466,0.784,6.56407502887043e-169,"myofiber","Hsp90b1","protein_coding"
"Pdia3",2.68823014812155e-173,-1.15439255104944,0.299,0.678,7.45016103250406e-169,"myofiber","Pdia3","protein_coding"
"Ckap4",5.65924021574637e-173,-0.629104367995757,0.089,0.466,1.56840183339195e-168,"myofiber","Ckap4","protein_coding"
"Alox5ap",2.15922860157952e-172,-1.07618547264662,0.122,0.488,5.98408614641748e-168,"myofiber","Alox5ap","protein_coding"
"Ptp4a3",2.21278750133148e-172,0.864631802038093,0.876,0.744,6.13251928119006e-168,"myofiber","Ptp4a3","protein_coding"
"Rps14",2.53001575424665e-172,-0.636460086330798,0.988,0.995,7.01168566131917e-168,"myofiber","Rps14","protein_coding"
"Rpl8",1.04830258712e-171,-0.7548095132513,0.928,0.967,2.90526578994436e-167,"myofiber","Rpl8","protein_coding"
"Cd44",1.5234346914013e-171,-0.793586230269407,0.109,0.482,4.22204690374956e-167,"myofiber","Cd44","protein_coding"
"Ly6e",2.02480552049347e-171,-0.895518563666402,0.471,0.798,5.6115460194956e-167,"myofiber","Ly6e","protein_coding"
"Rps13",2.22078661230634e-171,-0.985536245863749,0.705,0.852,6.1546880173458e-167,"myofiber","Rps13","protein_coding"
"Arpc5",2.22501065647706e-171,-1.05741207525051,0.212,0.597,6.16639453336054e-167,"myofiber","Arpc5","protein_coding"
"Ms4a6c",9.77869961855761e-171,-0.754150205524356,0.056,0.395,2.71006881228706e-166,"myofiber","Ms4a6c","protein_coding"
"Nme1",1.04633161004049e-170,-1.06595959634345,0.41,0.742,2.89980342406621e-166,"myofiber","Nme1","protein_coding"
"Rps3",1.26804904503009e-170,-0.834180916736644,0.916,0.962,3.51427112339638e-166,"myofiber","Rps3","protein_coding"
