"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","biotype"
"Cox8b",7.72630907018402e-273,-0.94229063552241,0.941,0.987,2.1412692957108e-268,"ctrl","Cox8b","protein_coding"
"mt-Te",1.12131487613615e-271,-0.903883628208565,0.166,0.544,3.10761204772374e-267,"ctrl","mt-Te","Mt_tRNA"
"Gm23344",1.30075258648286e-268,-0.636071132449443,0,0.352,3.6049057181786e-264,"ctrl","Gm23344","snoRNA"
"mt-Tg",8.9461845592598e-261,-0.747607127263239,0.068,0.443,2.47934558875326e-256,"ctrl","mt-Tg","Mt_tRNA"
"Rmrp",8.34748546545336e-258,-1.1195900870924,0.001,0.342,2.31342212189574e-253,"ctrl","Rmrp","lncRNA"
"Snord4a",1.42329423107929e-256,-0.609206452787883,0,0.338,3.94451763201313e-252,"ctrl","Snord4a","snoRNA"
"Eif4a2",2.76131954889036e-256,-0.990344522962815,0.771,0.829,7.65272099779475e-252,"ctrl","Eif4a2","protein_coding"
"Snora57",2.2356855458402e-249,-0.65612088821542,0.02,0.362,6.19597892174152e-245,"ctrl","Snora57","snoRNA"
"Gm15564",2.36547655817143e-249,-0.86567743856365,0.037,0.392,6.55568173331631e-245,"ctrl","Gm15564","lncRNA"
"Selenow",1.26912062409228e-238,-0.583373623799964,0.98,0.995,3.51724089760934e-234,"ctrl","Selenow","protein_coding"
"Snora15",1.63500781595539e-227,-0.573198088183784,0.001,0.308,4.53126066113876e-223,"ctrl","Snora15","snoRNA"
"Gm25541",8.45634873741546e-227,-0.521876585271835,0.001,0.307,2.34359248908732e-222,"ctrl","Gm25541","snRNA"
"Snord13",6.84243718822989e-225,-0.611790327653251,0.027,0.35,1.89631304234603e-220,"ctrl","Snord13","snoRNA"
"Snora31",7.50161007322345e-223,-0.560626824779738,0.001,0.302,2.07899621569315e-218,"ctrl","Snora31","snoRNA"
"Gm25835",2.24446433224774e-217,-0.540194731977791,0,0.295,6.22030845039138e-213,"ctrl","Gm25835","snoRNA"
"Myh3",1.29213682605608e-208,1.43769021829586,0.581,0.245,3.58102799973183e-204,"ctrl","Myh3","protein_coding"
"ENSMUSG00002076596",1.24633825317879e-207,-0.554420226326291,0,0.283,3.4541018348597e-203,"ctrl","ENSMUSG00002076596","snoRNA"
"Gm25128",2.00524729898919e-207,-0.497895086965004,0.001,0.285,5.55734236441864e-203,"ctrl","Gm25128","snoRNA"
"Snora69",3.9731946554193e-205,-0.514103260277362,0.002,0.283,1.1011311668029e-200,"ctrl","Snora69","snoRNA"
"Pbxip1",3.06377598501835e-204,0.771152482632107,0.845,0.59,8.49094876487987e-200,"ctrl","Pbxip1","protein_coding"
"Gm22362",3.2509120782592e-204,-0.547043632048501,0,0.279,9.00957773368755e-200,"ctrl","Gm22362","snoRNA"
"Snord43",3.19554503748974e-202,-0.480668930526409,0,0.277,8.85613351689907e-198,"ctrl","Snord43","miRNA"
"n-R5s136",1.2928388427279e-200,-2.62530890517864,0,0.275,3.5829735687361e-196,"ctrl","n-R5s136","rRNA"
"Snord59a",5.01050509761698e-198,-0.476306533292041,0,0.272,1.38861138275357e-193,"ctrl","Snord59a","snoRNA"
"Myl4",1.27125438911575e-195,1.6567967639196,0.654,0.368,3.5231544139954e-191,"ctrl","Myl4","protein_coding"
"Atp5e",4.77864805649439e-192,-0.472632371893015,0.986,0.999,1.32435452237686e-187,"ctrl","Atp5e","protein_coding"
"Gm23639",1.5827564506396e-191,-0.481651489940247,0.001,0.265,4.38645122730259e-187,"ctrl","Gm23639","snoRNA"
"Gm25291",4.18355362301755e-191,-0.524767524815875,0,0.263,1.15943005108308e-186,"ctrl","Gm25291","snoRNA"
"Tuba4a",5.28485708889658e-191,0.699788052209986,0.937,0.894,1.4646452936168e-186,"ctrl","Tuba4a","protein_coding"
"Snord32a",4.0252697233395e-190,-0.463700302656194,0,0.262,1.11556325112631e-185,"ctrl","Snord32a","snoRNA"
"Snord55",2.29881297366581e-180,-0.445841826809573,0,0.25,6.37093027521743e-176,"ctrl","Snord55","snoRNA"
"ENSMUSG00002075551",4.5387034351708e-179,-5.13193862599833,0,0.249,1.25785627002324e-174,"ctrl","ENSMUSG00002075551","miRNA"
"Hspb8",1.61573679468071e-178,0.780497068259804,0.94,0.817,4.47785295277811e-174,"ctrl","Hspb8","protein_coding"
"Gm25939",3.9298279441723e-177,-1.34093910788502,0,0.247,1.08911251644791e-172,"ctrl","Gm25939","snRNA"
"Dancr",1.02644966595456e-176,-0.531592175990597,0.046,0.322,2.84470260422648e-172,"ctrl","Dancr","lncRNA"
"Snora23",5.82837654304545e-175,-0.455840292559665,0,0.244,1.61527627513961e-170,"ctrl","Snora23","snoRNA"
"Nexn",2.04592536937704e-174,0.668663259148114,0.874,0.692,5.67007756869153e-170,"ctrl","Nexn","protein_coding"
"Gm23262",2.07335797075517e-171,-0.460167154912232,0.001,0.242,5.74610428015088e-167,"ctrl","Gm23262","snoRNA"
"Gm23297",2.31098225550842e-170,-0.439563425001308,0,0.238,6.40465622291603e-166,"ctrl","Gm23297","snoRNA"
"Mustn1",4.15039327388036e-170,0.516886587704494,0.936,0.828,1.1502399919232e-165,"ctrl","Mustn1","protein_coding"
"Mymk",1.30235151569584e-168,0.613157269814704,0.357,0.093,3.60933699059945e-164,"ctrl","Mymk","protein_coding"
"Hspb7",4.59388815944332e-167,0.888923460728064,0.88,0.762,1.27315016450812e-162,"ctrl","Hspb7","protein_coding"
"Eef1a2",5.1255651414164e-167,-0.67303888757617,0.839,0.899,1.42049912329214e-162,"ctrl","Eef1a2","protein_coding"
"mt-Tl1",2.92842366753875e-166,-0.558575048550741,0.084,0.359,8.1158333522169e-162,"ctrl","mt-Tl1","Mt_tRNA"
"Tceal7",2.32239567645857e-164,0.742497872733368,0.654,0.32,6.43628737773729e-160,"ctrl","Tceal7","protein_coding"
"H2-K1",2.79967897253919e-164,1.22508889021709,0.9,0.691,7.75903030449512e-160,"ctrl","H2-K1","protein_coding"
"Gm17494",7.15715136005962e-164,-1.27701041132403,0.069,0.336,1.98353292792692e-159,"ctrl","Gm17494","lncRNA"
"Irf7",2.4214973940605e-163,0.654679755595687,0.416,0.136,6.71093787789928e-159,"ctrl","Irf7","protein_coding"
"Cox7a1",4.92500281746742e-160,-0.613130166827547,0.874,0.958,1.36491528083292e-155,"ctrl","Cox7a1","protein_coding"
"Snord83b",7.79847602966044e-157,-0.402003023328053,0,0.222,2.1612696468601e-152,"ctrl","Snord83b","snoRNA"
"Snord87",8.27212383807115e-157,-0.385946091671237,0.001,0.224,2.29253640048304e-152,"ctrl","Snord87","snoRNA"
"Snord37",2.82119661523164e-155,-0.380211566171413,0,0.22,7.81866429945297e-151,"ctrl","Snord37","snoRNA"
"Olfr889",5.46538372785269e-153,-0.477949187398312,0.027,0.265,1.51467644633709e-148,"ctrl","Olfr889","protein_coding"
"Gm25989",4.31666815270184e-152,-0.401892823163636,0,0.215,1.19632141183979e-147,"ctrl","Gm25989","snoRNA"
"mt-Ti",5.54538352185397e-152,-0.693080197445939,0.34,0.589,1.53684758924661e-147,"ctrl","mt-Ti","Mt_tRNA"
"Tpt1",4.98847315894486e-151,0.356827667544902,0.998,1,1.38250545126998e-146,"ctrl","Tpt1","protein_coding"
"mt-Tk",1.37497298960799e-149,-0.437255582394965,0.027,0.261,3.81060014339959e-145,"ctrl","mt-Tk","Mt_tRNA"
"Tnnt2",5.61605274698982e-148,0.664154400555568,0.379,0.123,1.55643285830076e-143,"ctrl","Tnnt2","protein_coding"
"Mybpc1",8.06790394192308e-148,0.502880890127161,0.984,0.969,2.23593889846456e-143,"ctrl","Mybpc1","protein_coding"
"Tnni1",4.03688353603327e-146,1.15156231774307,0.579,0.306,1.11878190317626e-141,"ctrl","Tnni1","protein_coding"
"Gm37144",8.39787986380696e-145,-0.713338760189068,0.349,0.584,2.32738842545546e-140,"ctrl","Gm37144","TEC"
"Hsp90ab1",1.10946963004344e-144,0.524671597491003,0.979,0.953,3.0747841327024e-140,"ctrl","Hsp90ab1","protein_coding"
"1110038B12Rik",1.46568479990322e-142,-0.673706025812786,0.234,0.482,4.06199885445178e-138,"ctrl","1110038B12Rik","lncRNA"
"Pabpc1",1.48773544115989e-139,0.735638621393189,0.828,0.56,4.12311000163052e-135,"ctrl","Pabpc1","protein_coding"
"Rnf10",1.80198022672538e-137,0.455631593780517,0.568,0.273,4.9940080003467e-133,"ctrl","Rnf10","protein_coding"
"mt-Tw",3.22598098125038e-135,-0.484892843516681,0.085,0.327,8.94048369143731e-131,"ctrl","mt-Tw","Mt_tRNA"
"Snord94",5.97489916975952e-134,-0.349798355752355,0,0.192,1.65588355590715e-129,"ctrl","Snord94","snoRNA"
"Ndufb2",3.03027448274577e-133,-0.519873986677755,0.839,0.935,8.39810270148163e-129,"ctrl","Ndufb2","protein_coding"
"Gm25394",1.66099270311391e-132,-0.3478435614728,0,0.19,4.60327517740988e-128,"ctrl","Gm25394","snoRNA"
"Prkag3",2.16529267445834e-132,0.572690300480058,0.615,0.32,6.00089211799385e-128,"ctrl","Prkag3","protein_coding"
"Ptp4a2",4.47764047417798e-132,0.532140248031304,0.93,0.844,1.24093328101369e-127,"ctrl","Ptp4a2","protein_coding"
"Mmp14",2.33017468088082e-130,0.508284616942588,0.334,0.099,6.4578461105931e-126,"ctrl","Mmp14","protein_coding"
"Pabpc4",3.12862499907125e-129,0.510755186118559,0.748,0.463,8.67067132242607e-125,"ctrl","Pabpc4","protein_coding"
"Atp1a2",1.00417245197354e-128,0.535352245982263,0.959,0.927,2.78296353339948e-124,"ctrl","Atp1a2","protein_coding"
"Ly6e",1.03837341567329e-128,0.813362240186713,0.814,0.599,2.87774808419696e-124,"ctrl","Ly6e","protein_coding"
"Snord71",1.17521661801464e-127,-0.319360065652035,0,0.184,3.25699533516578e-123,"ctrl","Snord71","snoRNA"
"Gnas",1.13304879314507e-126,0.452690863338913,0.963,0.975,3.14013142532224e-122,"ctrl","Gnas","protein_coding"
"Gm22748",1.83108254299826e-126,-0.35309555873349,0.007,0.199,5.07466215966537e-122,"ctrl","Gm22748","snoRNA"
"Myom3",6.18436731889665e-126,0.380691393740462,0.392,0.14,1.71393555875902e-121,"ctrl","Myom3","protein_coding"
"Actn2",1.41143310757238e-124,0.686726506693994,0.91,0.899,3.91164571432609e-120,"ctrl","Actn2","protein_coding"
"Gm22270",9.8783871789333e-124,-0.315585394133861,0,0.179,2.73769622276958e-119,"ctrl","Gm22270","snoRNA"
"Mef2c",1.64634606847978e-123,0.532927618510917,0.851,0.669,4.56268349418485e-119,"ctrl","Mef2c","protein_coding"
"Tnnc1",3.31395009294615e-123,0.546180977212845,0.458,0.201,9.18428128759097e-119,"ctrl","Tnnc1","protein_coding"
"Cryab",9.05174747528669e-123,0.460182087983767,0.997,0.991,2.50860129530095e-118,"ctrl","Cryab","protein_coding"
"Gm26165",8.86964476972015e-122,-0.30237169028793,0,0.176,2.45813335148024e-117,"ctrl","Gm26165","snoRNA"
"Myh8",3.62675350949196e-121,0.903045794284431,0.607,0.33,1.0051184676206e-116,"ctrl","Myh8","protein_coding"
"Arl6ip5",5.5264098851353e-120,0.521274800606294,0.613,0.357,1.5315892355664e-115,"ctrl","Arl6ip5","protein_coding"
"Gm13568",1.72425941807319e-119,-1.58568601265927,0.003,0.18,4.77861255124804e-115,"ctrl","Gm13568","lncRNA"
"Snora73b",8.28007211289346e-119,-0.335637134503984,0.004,0.182,2.29473918536729e-114,"ctrl","Snora73b","snoRNA"
"Cox6c",2.77516469857621e-118,-0.361606523255727,0.972,0.996,7.69109144563412e-114,"ctrl","Cox6c","protein_coding"
"Casq2",4.15965407176489e-118,0.762505820230323,0.57,0.311,1.15280652944892e-113,"ctrl","Casq2","protein_coding"
"Rsad2",1.41072210116818e-116,0.509666636694019,0.269,0.071,3.9096752311775e-112,"ctrl","Rsad2","protein_coding"
"Bgn",2.0987337882171e-116,0.823955701969533,0.815,0.645,5.81643082066488e-112,"ctrl","Bgn","protein_coding"
"Chrng",2.61063679055255e-116,0.251610185040473,0.207,0.037,7.23511880133733e-112,"ctrl","Chrng","protein_coding"
"Igfbp5",2.44302579769076e-114,0.800753217067206,0.823,0.684,6.77060169572018e-110,"ctrl","Igfbp5","protein_coding"
"Snord111",3.36071187444227e-114,-0.298020812936668,0,0.167,9.31387688882931e-110,"ctrl","Snord111","snoRNA"
"Tmsb10",4.52152380635734e-113,0.82941993163641,0.898,0.739,1.25309510769387e-108,"ctrl","Tmsb10","protein_coding"
"Bin1",6.99124753730272e-113,0.45639263769948,0.943,0.907,1.93755434248808e-108,"ctrl","Bin1","protein_coding"
"Mylk4",4.0528715928352e-112,-0.713258271384446,0.499,0.665,1.12321283323835e-107,"ctrl","Mylk4","protein_coding"
"Gm22513",3.25220053278874e-110,-0.601339657587182,0.003,0.167,9.01314855657071e-106,"ctrl","Gm22513","snRNA"
"Synpo2l",6.68258354303886e-109,0.493975580618031,0.708,0.454,1.85201120311779e-104,"ctrl","Synpo2l","protein_coding"
"Neb",3.98766097895815e-108,0.364744274488509,0.992,0.987,1.10514036370846e-103,"ctrl","Neb","protein_coding"
"Mylk2",1.30101665443685e-107,-0.609849416623287,0.808,0.874,3.60563755610629e-103,"ctrl","Mylk2","protein_coding"
"Snord73b",3.11397153005898e-107,-0.272563448081078,0,0.157,8.63006069840545e-103,"ctrl","Snord73b","snoRNA"
"H2-Q7",3.20495064788795e-107,0.409186703987987,0.35,0.129,8.88220022555666e-103,"ctrl","H2-Q7","protein_coding"
"Nes",8.89375777514162e-107,0.471561653496702,0.5,0.241,2.46481602980275e-102,"ctrl","Nes","protein_coding"
"Eif5b",7.56258802405781e-106,0.485098484141344,0.537,0.27,2.09589564498738e-101,"ctrl","Eif5b","protein_coding"
"mt-Rnr2",8.70705164694171e-105,0.582390162804751,1,1,2.41307229343343e-100,"ctrl","mt-Rnr2","Mt_rRNA"
"Snord11",2.69787718285258e-104,-0.265010154854556,0,0.153,7.47689682455764e-100,"ctrl","Snord11","snoRNA"
"Pvalb",3.57383721784658e-104,-0.475360602703464,0.999,1,9.90453246554001e-100,"ctrl","Pvalb","protein_coding"
"Bex1",7.32658362704517e-104,0.529560077525271,0.508,0.261,2.0304893863993e-99,"ctrl","Bex1","protein_coding"
"Rpsa",2.39337821018878e-103,0.418335960871055,0.985,0.969,6.6330083717172e-99,"ctrl","Rpsa","protein_coding"
"mt-Tr",6.49068406989477e-103,-0.360017917911976,0.048,0.236,1.79882818313064e-98,"ctrl","mt-Tr","Mt_tRNA"
"Jpt1",1.06029640591078e-102,0.695757684783341,0.665,0.444,2.93850545934114e-98,"ctrl","Jpt1","protein_coding"
"Gm22884",1.42093445992582e-102,-0.29561122849084,0,0.15,3.93797776223841e-98,"ctrl","Gm22884","snoRNA"
"B2m",1.09860771668147e-101,0.908082017947767,0.936,0.818,3.04468142601103e-97,"ctrl","B2m","protein_coding"
"Gm26448",5.10228376121503e-101,-0.272945996316514,0.001,0.151,1.41404692158313e-96,"ctrl","Gm26448","snoRNA"
"Snord90",1.09832954617297e-100,-0.26437797302952,0,0.148,3.04391050426377e-96,"ctrl","Snord90","snoRNA"
"Ppp3ca",2.04896321779679e-100,0.564182918864446,0.827,0.631,5.67849666180202e-96,"ctrl","Ppp3ca","protein_coding"
"Gatm",3.85529650887677e-100,0.47666365503872,0.38,0.161,1.06845687447011e-95,"ctrl","Gatm","protein_coding"
"Rps8",1.21188241537631e-99,0.417584105842454,0.973,0.95,3.35861092597389e-95,"ctrl","Rps8","protein_coding"
"Ifi27l2a",1.26114100762491e-99,0.642935361769897,0.703,0.431,3.49512618853167e-95,"ctrl","Ifi27l2a","protein_coding"
"Tpm2",1.19299927029407e-97,0.293753911476514,0.998,0.999,3.30627817769299e-93,"ctrl","Tpm2","protein_coding"
"Taf1d",3.22159005965015e-97,-0.648281505897319,0.159,0.357,8.92831469131442e-93,"ctrl","Taf1d","protein_coding"
"Nrap",7.34091006070309e-97,0.459572082512423,0.932,0.901,2.03445981422326e-92,"ctrl","Nrap","protein_coding"
"Ckb",1.3765307219472e-96,0.60903361447598,0.562,0.31,3.81491724280446e-92,"ctrl","Ckb","protein_coding"
"Laptm5",3.82708807142237e-96,0.734700382523349,0.587,0.331,1.060639188114e-91,"ctrl","Laptm5","protein_coding"
"Lmod3",1.17414662390894e-95,0.452212136920922,0.728,0.5,3.25402995350123e-91,"ctrl","Lmod3","protein_coding"
"H19",1.3600483998293e-95,0.929437014691332,0.813,0.775,3.76923813528692e-91,"ctrl","H19","lncRNA"
"Cilp",1.99719575574217e-94,0.617462844627462,0.627,0.389,5.53502831746384e-90,"ctrl","Cilp","protein_coding"
"Amotl1",3.29301611439113e-93,0.434480327434527,0.785,0.567,9.12626485942358e-89,"ctrl","Amotl1","protein_coding"
"Rps9",4.76144499113101e-93,0.492063054958322,0.981,0.962,1.31958686484205e-88,"ctrl","Rps9","protein_coding"
"Cdkn1a",7.18174023736491e-93,0.526081671966428,0.504,0.268,1.99034748938331e-88,"ctrl","Cdkn1a","protein_coding"
"Gm25788",8.54170192231087e-92,-0.424817069310914,0,0.136,2.36724727074923e-87,"ctrl","Gm25788","snoRNA"
"Gas5",1.05238864010136e-91,-0.903740572023655,0.651,0.641,2.91658987717691e-87,"ctrl","Gas5","lncRNA"
"Kif1b",5.12714032247734e-91,0.439654679018737,0.81,0.627,1.42093566897137e-86,"ctrl","Kif1b","protein_coding"
"Cox6a2",5.87790998858009e-91,-0.417305145859459,0.976,0.994,1.62900397423509e-86,"ctrl","Cox6a2","protein_coding"
"Zbtb20",1.36448912278838e-89,0.398124241806783,0.611,0.35,3.78154515489572e-85,"ctrl","Zbtb20","protein_coding"
"Dmpk",5.04975443577432e-89,0.432109814116164,0.786,0.573,1.3994889443305e-84,"ctrl","Dmpk","protein_coding"
"Atp5md",5.43607810027376e-89,-0.34716467955985,0.931,0.98,1.50655468470987e-84,"ctrl","Atp5md","protein_coding"
"Pacsin3",1.03398930640733e-88,0.465959942450157,0.794,0.623,2.86559796377729e-84,"ctrl","Pacsin3","protein_coding"
"Isg15",1.07166127779911e-87,0.410407702049099,0.319,0.126,2.97000206529244e-83,"ctrl","Isg15","protein_coding"
"Atp5k",3.53123333142339e-87,-0.312540325445748,0.965,0.993,9.78646005470677e-83,"ctrl","Atp5k","protein_coding"
"H2-D1",2.17845343946964e-86,0.685135059350847,0.857,0.673,6.03736586214616e-82,"ctrl","H2-D1","protein_coding"
"Fmc1",3.57440847241394e-86,-0.477439213523209,0.656,0.761,9.906115640448e-82,"ctrl","Fmc1","protein_coding"
"Hcfc1r1",4.74541875446429e-86,0.49367600152592,0.779,0.624,1.31514535361223e-81,"ctrl","Hcfc1r1","protein_coding"
"Xirp2",6.199576312645e-86,0.553640553052907,0.945,0.913,1.71815057928643e-81,"ctrl","Xirp2","protein_coding"
"Cdkn1c",3.70880490889331e-84,0.407895709142707,0.426,0.207,1.02785819245069e-79,"ctrl","Cdkn1c","protein_coding"
"Apoe",1.30094885383592e-83,0.855902256998431,0.911,0.86,3.60544965352088e-79,"ctrl","Apoe","protein_coding"
"Gamt",2.3326306373766e-83,0.446135743808274,0.512,0.29,6.46465254842552e-79,"ctrl","Gamt","protein_coding"
"Tubb6",1.83582932876186e-82,0.520016659714545,0.598,0.363,5.08781740173061e-78,"ctrl","Tubb6","protein_coding"
"Postn",3.84234025806597e-82,0.694619764931584,0.588,0.364,1.0648661791204e-77,"ctrl","Postn","protein_coding"
"Cfb",5.04743796034691e-82,0.331154718792036,0.228,0.07,1.39884695633054e-77,"ctrl","Cfb","protein_coding"
"Ankrd23",1.49539556401852e-81,0.588112628573688,0.716,0.464,4.14433926612094e-77,"ctrl","Ankrd23","protein_coding"
"Myo18a",2.26407368848039e-81,0.355667558543691,0.573,0.325,6.27465382025455e-77,"ctrl","Myo18a","protein_coding"
"Myoz2",3.28926076346197e-81,0.417705696998387,0.556,0.326,9.11585727985849e-77,"ctrl","Myoz2","protein_coding"
"Ttn",9.72623718512154e-81,0.353303901783332,0.998,1,2.69552937348458e-76,"ctrl","Ttn","protein_coding"
"Mapt",1.87317374703441e-80,0.276436740426098,0.295,0.11,5.19131372253116e-76,"ctrl","Mapt","protein_coding"
"Tnnt1",3.58056159982806e-80,0.644923965884159,0.533,0.334,9.92316841776349e-76,"ctrl","Tnnt1","protein_coding"
"Tnnc2",1.86367640592089e-79,-0.264748750499163,1,1,5.16499279136914e-75,"ctrl","Tnnc2","protein_coding"
"Ncam1",2.62841056080739e-79,0.261489933656695,0.288,0.108,7.28437702822159e-75,"ctrl","Ncam1","protein_coding"
"Serpinb6a",3.69281754313305e-79,0.496875019313567,0.846,0.706,1.02342745390389e-74,"ctrl","Serpinb6a","protein_coding"
"Sec61a1",5.66704679451475e-79,-0.455706643356733,0.487,0.623,1.57056534863182e-74,"ctrl","Sec61a1","protein_coding"
"Sec62",4.04483842107209e-78,0.368584291111789,0.529,0.29,1.12098652001592e-73,"ctrl","Sec62","protein_coding"
"Ehbp1l1",7.08515321354378e-78,0.457897107821804,0.81,0.653,1.96357936160152e-73,"ctrl","Ehbp1l1","protein_coding"
"Rplp0",8.88257218374341e-78,0.262567124499847,0.987,0.985,2.46171605500265e-73,"ctrl","Rplp0","protein_coding"
"Ndufb9",2.06300661765498e-77,-0.356526250319487,0.931,0.981,5.717416540169e-73,"ctrl","Ndufb9","protein_coding"
"Fcgr4",7.96303711293272e-77,0.325042180913867,0.234,0.079,2.20687610547817e-72,"ctrl","Fcgr4","protein_coding"
"Kif5b",1.42356858229022e-76,0.397211500970199,0.649,0.407,3.94527796895912e-72,"ctrl","Kif5b","protein_coding"
"Actc1",1.12538691911352e-75,1.01666305790803,0.742,0.617,3.1188973076312e-71,"ctrl","Actc1","protein_coding"
"Psmd1",3.66305334086264e-75,0.404850352747503,0.596,0.355,1.01517860288667e-70,"ctrl","Psmd1","protein_coding"
"Bst2",9.94893341921515e-75,0.628595035859309,0.585,0.356,2.75724740780129e-70,"ctrl","Bst2","protein_coding"
"Arrdc2",1.48830432554482e-74,-0.331828591397367,0.05,0.199,4.12468660781492e-70,"ctrl","Arrdc2","protein_coding"
"Eln",2.75056007684299e-74,0.371393769104036,0.4,0.19,7.62290219696265e-70,"ctrl","Eln","protein_coding"
"2310022B05Rik",3.27094452883211e-74,0.306430161190899,0.361,0.168,9.0650956672053e-70,"ctrl","2310022B05Rik","protein_coding"
"5430431A17Rik",1.22126133613219e-73,0.506743640093054,0.584,0.361,3.38460366695675e-69,"ctrl","5430431A17Rik","lncRNA"
"Cybb",9.35547901346131e-73,0.434446204636883,0.368,0.177,2.59277745379067e-68,"ctrl","Cybb","protein_coding"
"Noct",5.42861177884593e-72,-0.413907959630996,0.514,0.635,1.50448546838936e-67,"ctrl","Noct","protein_coding"
"Mndal",1.26583485175367e-71,0.307772683034955,0.308,0.131,3.50813470815013e-67,"ctrl","Mndal","protein_coding"
"Ehd4",1.38933963865138e-71,0.362708540969538,0.534,0.304,3.85041587455845e-67,"ctrl","Ehd4","protein_coding"
"Dclk1",2.47401248582806e-71,0.28013356911516,0.249,0.093,6.8564782032239e-67,"ctrl","Dclk1","protein_coding"
"Fhl1",2.67021188090247e-71,0.439215069324113,0.98,0.979,7.4002252067331e-67,"ctrl","Fhl1","protein_coding"
